team_name,conference
Boston Celtics,East
Milwaukee Bucks,East
Philadelphia 76ers,East
Cleveland Cavaliers,East
Brooklyn Nets,East
New York Knicks,East
Miami Heat,East
Atlanta Hawks,East
Toronto Raptors,East
Washington Wizards,East
Chicago Bulls,East
Indiana Pacers,East
Orlando Magic,East
Charlotte Hornets,East
Detroit Pistons,East
Denver Nuggets,West
Memphis Grizzlies,West
Sacramento Kings,West
Phoenix Suns,West
Los Angeles Clippers,West
Dallas Mavericks,West
Golden State Warriors,West
Minnesota Timberwolves,West
Utah Jazz,West
New Orleans Pelicans,West
Oklahoma City Thunder,West
Portland Trail Blazers,West
Los Angeles Lakers,West
San Antonio Spurs,West
Houston Rockets,West
